,Country,Under 18 years old,18-24 years old,25-34 years old,35-44 years old,45-54 years old,55-64 years old,65 years or older,Prefer not to say
0,Algeria,7.792207792207792,38.961038961038966,40.25974025974026,7.792207792207792,2.5974025974025974,1.2987012987012987,1.2987012987012987,0.0
1,Angola,0.0,45.0,40.0,0.0,5.0,5.0,0.0,5.0
2,Bahrain,9.090909090909092,18.181818181818183,36.36363636363637,27.27272727272727,9.090909090909092,0.0,0.0,0.0
3,Benin,0.0,63.63636363636363,36.36363636363637,0.0,0.0,0.0,0.0,0.0
4,Botswana,0.0,60.0,0.0,40.0,0.0,0.0,0.0,0.0
5,Burkina Faso,0.0,25.0,50.0,25.0,0.0,0.0,0.0,0.0
6,Burundi,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
7,Cameroon,9.67741935483871,35.483870967741936,32.25806451612903,22.58064516129032,0.0,0.0,0.0,0.0
8,Central African Republic,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
9,Chad,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
10,Côte d'Ivoire,0.0,28.57142857142857,57.14285714285714,0.0,14.285714285714285,0.0,0.0,0.0
11,Democratic Republic of the Congo,0.0,33.33333333333333,33.33333333333333,33.33333333333333,0.0,0.0,0.0,0.0
12,Egypt,11.450381679389313,39.69465648854962,34.35114503816794,12.213740458015266,1.9083969465648856,0.0,0.0,0.38167938931297707
13,Equatorial Guinea,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Ethiopia,1.6666666666666667,36.666666666666664,48.333333333333336,11.666666666666666,1.6666666666666667,0.0,0.0,0.0
15,Gabon,0.0,25.0,0.0,50.0,0.0,0.0,0.0,25.0
16,Ghana,1.4285714285714286,44.285714285714285,41.42857142857143,10.0,1.4285714285714286,0.0,0.0,1.4285714285714286
17,Guinea,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Guinea-Bissau,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Israel,4.635761589403973,15.728476821192054,30.4635761589404,29.47019867549669,13.57615894039735,4.304635761589404,1.1589403973509933,0.6622516556291391
20,Jordan,0.0,27.500000000000004,40.0,22.5,2.5,5.0,0.0,2.5
21,Kenya,0.5555555555555556,40.55555555555556,49.44444444444444,6.666666666666667,2.2222222222222223,0.5555555555555556,0.0,0.0
