,Country,Primary/elementary school,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Some college/university study without earning a degree,"Associate degree (A.A., A.S., etc.)","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",Something else
0,Algeria,0.0,6.493506493506493,15.584415584415584,2.5974025974025974,18.181818181818183,50.649350649350644,3.896103896103896,2.5974025974025974
1,Angola,0.0,30.0,10.0,5.0,30.0,10.0,10.0,5.0
2,Bahrain,9.090909090909092,9.090909090909092,9.090909090909092,0.0,63.63636363636363,9.090909090909092,0.0,0.0
3,Benin,0.0,0.0,9.090909090909092,0.0,63.63636363636363,18.181818181818183,9.090909090909092,0.0
4,Botswana,0.0,20.0,0.0,0.0,80.0,0.0,0.0,0.0
5,Burkina Faso,0.0,0.0,25.0,0.0,50.0,25.0,0.0,0.0
6,Burundi,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
7,Cameroon,0.0,6.451612903225806,19.35483870967742,6.451612903225806,45.16129032258064,9.67741935483871,9.67741935483871,3.225806451612903
8,Central African Republic,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chad,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
10,Côte d'Ivoire,0.0,0.0,14.285714285714285,21.428571428571427,35.714285714285715,21.428571428571427,0.0,7.142857142857142
11,Democratic Republic of the Congo,0.0,33.33333333333333,0.0,0.0,66.66666666666666,0.0,0.0,0.0
12,Egypt,8.015267175572518,15.267175572519085,8.396946564885496,2.6717557251908395,61.06870229007634,3.0534351145038165,0.7633587786259541,0.7633587786259541
13,Equatorial Guinea,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Ethiopia,1.6666666666666667,6.666666666666667,15.0,0.0,58.333333333333336,16.666666666666664,0.0,1.6666666666666667
15,Gabon,0.0,0.0,0.0,0.0,50.0,25.0,25.0,0.0
16,Ghana,0.0,10.0,11.428571428571429,1.4285714285714286,74.28571428571429,2.857142857142857,0.0,0.0
17,Guinea,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
18,Guinea-Bissau,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0
19,Israel,3.80794701986755,11.754966887417218,19.70198675496689,2.814569536423841,39.569536423841065,14.072847682119205,4.13907284768212,4.13907284768212
20,Jordan,2.5,10.0,0.0,2.5,67.5,7.5,5.0,5.0
21,Kenya,1.1111111111111112,5.555555555555555,16.11111111111111,4.444444444444445,67.77777777777779,3.3333333333333335,0.5555555555555556,1.1111111111111112
22,Kuwait,12.5,0.0,12.5,0.0,62.5,12.5,0.0,0.0
23,Lebanon,4.3478260869565215,6.521739130434782,15.217391304347828,0.0,50.0,21.73913043478261,2.1739130434782608,0.0
24,Lesotho,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
25,Liberia,0.0,25.0,25.0,25.0,25.0,0.0,0.0,0.0
26,Libyan Arab Jamahiriya,25.0,0.0,25.0,0.0,50.0,0.0,0.0,0.0
27,Madagascar,0.0,0.0,14.285714285714285,0.0,35.714285714285715,42.857142857142854,0.0,7.142857142857142
28,Malawi,0.0,8.333333333333332,25.0,8.333333333333332,50.0,0.0,8.333333333333332,0.0
29,Mali,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0
