,Country,Less than 1 year,1-2 years,3-5 years,20 or more years,6-9 years,10-14 years,15-19 years,More than 50 years
0,Algeria,9.615384615384617,40.38461538461539,32.69230769230769,0.0,11.538461538461538,3.8461538461538463,0.0,1.9230769230769231
1,Angola,7.6923076923076925,23.076923076923077,30.76923076923077,15.384615384615385,15.384615384615385,7.6923076923076925,0.0,0.0
2,Bahrain,11.11111111111111,0.0,22.22222222222222,22.22222222222222,11.11111111111111,22.22222222222222,11.11111111111111,0.0
3,Benin,0.0,62.5,25.0,0.0,12.5,0.0,0.0,0.0
4,Botswana,33.33333333333333,0.0,33.33333333333333,0.0,33.33333333333333,0.0,0.0,0.0
5,Burkina Faso,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0
6,Burundi,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
7,Cameroon,14.285714285714285,9.523809523809524,38.095238095238095,0.0,23.809523809523807,14.285714285714285,0.0,0.0
8,Central African Republic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Chad,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Côte d'Ivoire,0.0,10.0,30.0,20.0,40.0,0.0,0.0,0.0
11,Democratic Republic of the Congo,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0
12,Egypt,16.666666666666664,26.881720430107524,32.25806451612903,3.225806451612903,11.827956989247312,5.376344086021505,3.763440860215054,0.0
13,Ethiopia,10.526315789473683,28.947368421052634,34.21052631578947,2.631578947368421,7.894736842105263,10.526315789473683,5.263157894736842,0.0
14,Gabon,0.0,0.0,0.0,0.0,33.33333333333333,33.33333333333333,0.0,33.33333333333333
15,Ghana,20.37037037037037,18.51851851851852,37.03703703703704,0.0,14.814814814814813,7.4074074074074066,1.8518518518518516,0.0
16,Israel,3.6468330134357005,10.17274472168906,16.698656429942417,18.809980806142036,19.577735124760075,19.769673704414586,10.9404990403071,0.3838771593090211
17,Jordan,5.714285714285714,25.71428571428571,31.428571428571427,5.714285714285714,11.428571428571429,11.428571428571429,8.571428571428571,0.0
