iso2_code,ASP.NET,Assembly,Awk,Batchfile,Bicep,Brainfuck,C,C#,C++,CMake,Clojure,CoffeeScript,Cuda,Cython,Dart,Dockerfile,Emacs Lisp,Forth,Fortran,GAP,GDB,GDScript,GLSL,Gherkin,Go,Groovy,HCL,HLSL,Hack,Java,JavaScript,Jsonnet,Julia,Kotlin,Lex,Lua,M,M4,MATLAB,Makefile,Mako,Mathematica,Meson,Motoko,NSIS,Nix,Objective-C,Objective-C++,Open Policy Agent,PHP,PLpgSQL,Pascal,Perl,PowerShell,Procfile,Puppet,PureBasic,Python,QMake,R,Raku,Ruby,Rust,SWIG,Scala,Scheme,ShaderLab,Shell,Smalltalk,Smarty,Solidity,Starlark,Swift,TSQL,Tcl,TypeScript,VHDL,Verilog,Vim Script,Visual Basic .NET,XSLT,Yacc,sed
DZ,0,21,0,16,0,0,4,20,8,14,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,0,0,19,6,1,0,0,9,0,22,0,0,0,15,0,0,0,0,0,0,11,0,0,7,0,0,0,18,0,0,0,2,0,0,0,17,0,0,0,0,0,5,0,0,0,0,13,0,0,3,0,0,0,0,0,0,0
AO,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
BH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
BJ,0,0,0,0,0,0,5,0,10,12,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0
BW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CM,0,0,0,19,0,0,8,0,9,14,0,0,0,0,13,7,0,0,0,0,0,0,0,0,0,0,0,0,15,5,1,0,0,10,0,0,0,0,0,18,0,0,0,0,0,0,11,0,0,4,0,0,0,0,17,0,0,2,0,0,0,16,0,0,0,0,0,6,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0
CG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CI,0,0,0,0,0,0,6,0,13,14,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,15,12,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,11,0,0,4,0,0,0,0,0,0,0
CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
EG,41,18,0,19,0,40,3,14,4,12,0,45,0,51,10,15,0,52,0,0,0,0,42,35,24,46,28,37,20,11,1,0,0,7,0,26,53,50,27,17,0,0,0,0,0,30,9,32,0,13,48,0,29,21,23,22,0,2,34,43,0,16,33,54,0,0,39,6,0,38,0,0,8,25,44,5,49,31,47,0,36,0,0
ET,0,16,0,21,0,0,5,18,6,15,0,0,0,0,10,11,0,0,0,0,0,0,0,0,23,0,0,0,20,7,1,0,0,12,0,0,0,0,0,19,0,0,0,0,0,0,13,0,0,9,0,0,0,22,24,17,0,2,0,0,0,8,0,0,0,0,0,4,0,0,0,0,14,0,0,3,0,0,0,0,0,0,0
GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GH,0,12,0,21,0,27,5,20,9,16,0,0,0,0,14,8,0,0,0,0,0,0,0,0,24,0,0,0,18,10,1,0,0,11,0,0,0,0,0,19,0,0,0,0,0,26,13,0,0,6,0,0,0,23,22,17,0,2,0,0,0,7,0,0,0,0,0,3,0,0,25,0,15,0,0,4,0,0,0,0,0,0,0
GN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IL,50,23,47,12,59,0,8,10,9,13,0,0,43,45,29,5,44,0,61,0,0,0,40,51,11,30,16,26,52,6,1,57,60,17,49,22,0,36,34,7,46,56,55,0,0,35,19,31,58,20,41,0,25,15,28,0,0,2,0,32,0,14,21,0,48,0,27,3,0,18,39,33,24,42,54,4,0,0,38,0,37,53,0
JO,0,0,0,18,0,0,8,5,7,15,0,0,0,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,11,0,0,0,0,0,17,0,0,0,0,0,0,13,0,0,10,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,6,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0
KE,0,12,0,17,0,32,4,25,10,23,0,42,0,28,14,7,0,40,45,0,0,0,0,0,26,0,34,0,18,9,1,0,0,11,0,33,35,0,29,19,24,0,0,0,0,21,20,43,0,6,44,0,37,15,13,16,0,2,0,30,0,8,27,0,0,0,0,3,0,31,39,0,22,41,0,5,0,0,0,38,36,0,0
KW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
LB,0,0,0,0,0,0,5,14,6,13,0,0,0,0,11,15,0,0,0,0,0,0,0,0,0,0,0,0,18,9,1,0,0,7,0,0,0,0,0,17,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,2,0,0,0,16,0,0,0,0,0,10,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0
LS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MG,0,0,0,7,0,0,10,0,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
MW,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
MA,0,12,0,19,0,29,5,15,10,17,0,36,0,32,21,8,0,34,0,0,0,0,0,0,25,0,0,0,14,3,1,0,0,16,0,28,35,0,30,11,0,0,0,0,0,26,18,0,0,7,0,0,31,22,23,13,0,2,0,0,0,9,27,0,0,0,0,4,0,33,24,0,20,0,0,6,0,0,0,0,0,0,0
